id	name	numLevels	hasHardship	weight	created_at	updated_at
1	religion	8	0	1	2011-07-19 18:03:34	2011-07-19 18:03:34
2	prosocial	14	0	1	2011-07-19 18:03:34	2011-07-19 18:03:34
3	trustworthy	10	0	1	2011-07-19 18:03:34	2011-07-19 18:03:34
4	education	9	0	1	2011-07-19 18:03:34	2011-07-19 18:03:34
5	job	21	0	1	2011-07-19 18:03:34	2011-07-19 18:03:34
6	likable	6	0	1	2011-07-19 18:03:34	2011-07-19 18:03:34
7	political	13	0	1	2011-07-19 18:03:34	2011-07-19 18:03:34
8	responsibility	5	1	1	2011-07-19 18:03:34	2011-07-19 18:03:34
9	helpability	5	1	1	2011-07-19 18:03:34	2011-07-19 18:03:34
10	distress	5	1	1	2011-07-19 18:03:34	2011-07-19 18:03:34
