id	name	text	charity	url
1	addictedtopainkillers	 is addicted to pain killers	 Friends of the National Institute on Drug Abuse	http://www.thefriendsofnida.org/
2	lungcancer	 has lung cancer	 National Lung Cancer Partnership	http://www.nationallungcancerpartnership.org
3	lostarmincaraccident	 lost his arm in a car accident	 Amputee Coalition	http://www.amputee-coalition.org
4	schizophrenia	 has schizophrenia	 Brain and Behavior Research Foundation	http://www.narsad.org
5	HIV	 has HIV	 Elton John AIDS Foundation	http://www.ejaf.org/
6	paralyzed	 is paralyzed	 Reeve Foundation	http://www.christopherreeve.org/
7	alcoholic	 is an alcoholic	 National Institute on Alcohol Abuse and Alcoholism	http://www.niaaa.nih.gov 
8	losthousetotornado	 had his house destroyed by a tornado	 American Red Cross	http://american.redcross.org
9	lostfamilytoaflood	 lost his family in a flood	 American Red Cross	http://american.redcross.org
10	deaf	 is deaf	 Deafness Research Foundation	http://www.drf.org
11	posttraumaticstressdisorder	 has post-traumatic stress disorder (PTSD)	 National Institute of Mental Health	http://www.nimh.nih.gov
12	skincancer	 has skin cancer	 Skin Cancer Foundation	www.skincancer.org
13	diabetic	 has diabetes	 American Diabetes Association	www.diabetes.org
14	amputeeveteran	 is a veteran with an amputated limb	 Amputee Coalition	http://www.amputee-coalition.org
15	addictedtoamphetamines	 is addicted to amphetamines	 Friends of the National Institute on Drug Abuse	http://www.thefriendsofnida.org/
16	livercancer	 has liver cancer	 American Liver Foundation	http://www.liverfoundation.org
