id	q_item_id	q_scale_id	q_measure_id	keying	created_at	updated_at
1	1	1	1	-1	2011-07-19 18:03:31	2011-07-19 18:03:31
2	71	1	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
3	162	1	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
4	147	1	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
5	33	1	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
6	5	2	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
7	22	2	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
8	31	2	1	-1	2011-07-19 18:03:31	2011-07-19 18:03:31
9	101	2	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
10	163	2	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
11	35	3	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
12	41	3	1	-1	2011-07-19 18:03:31	2011-07-19 18:03:31
13	15	3	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
14	141	3	1	-1	2011-07-19 18:03:31	2011-07-19 18:03:31
15	131	3	1	-1	2011-07-19 18:03:31	2011-07-19 18:03:31
16	45	4	1	1	2011-07-19 18:03:31	2011-07-19 18:03:31
17	155	4	1	-1	2011-07-19 18:03:31	2011-07-19 18:03:31
18	165	4	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
19	169	4	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
20	15	4	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
21	46	5	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
22	9	5	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
23	16	5	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
24	86	5	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
25	104	5	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
26	1	6	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
27	123	6	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
28	71	6	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
29	173	6	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
30	57	6	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
31	79	7	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
32	162	7	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
33	164	7	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
34	1	7	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
35	132	7	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
36	30	8	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
37	88	8	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
38	99	8	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
39	37	8	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
40	21	8	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
41	31	9	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
42	22	9	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
43	175	9	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
44	152	9	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
45	167	9	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
46	19	10	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
47	143	10	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
48	80	10	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
49	127	10	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
50	166	10	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
51	37	11	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
52	171	11	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
53	88	11	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
54	6	11	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
55	85	11	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
56	85	12	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
57	168	12	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
58	171	12	1	-1	2011-07-19 18:03:32	2011-07-19 18:03:32
59	179	12	1	1	2011-07-19 18:03:32	2011-07-19 18:03:32
