id	ipip_id	source	response_style	text	anchors	created_at	updated_at
1				Rarely worry.		2011-07-19 18:03:31	2011-07-19 18:03:31
2				Often eat too much.		2011-07-19 18:03:31	2011-07-19 18:03:31
3				Usually like to spend my free time with people.		2011-07-19 18:03:31	2011-07-19 18:03:31
4				Take charge.		2011-07-19 18:03:31	2011-07-19 18:03:31
5				Am always busy.		2011-07-19 18:03:31	2011-07-19 18:03:31
6				Radiate joy.		2011-07-19 18:03:31	2011-07-19 18:03:31
7				Do not like poetry.		2011-07-19 18:03:31	2011-07-19 18:03:31
8				Distrust people.		2011-07-19 18:03:31	2011-07-19 18:03:31
9				Tell other people what they want to hear so that they will do what I want them to do.		2011-07-19 18:03:31	2011-07-19 18:03:31
10				Anticipate the needs of others.		2011-07-19 18:03:31	2011-07-19 18:03:31
11				Believe that I am better than others.		2011-07-19 18:03:31	2011-07-19 18:03:31
12				Sympathize with the homeless.		2011-07-19 18:03:31	2011-07-19 18:03:31
13				Keep things tidy.		2011-07-19 18:03:31	2011-07-19 18:03:31
14				Am a highly disciplined person.		2011-07-19 18:03:31	2011-07-19 18:03:31
15				Jump into things without thinking.		2011-07-19 18:03:31	2011-07-19 18:03:31
16				Admire a really clever scam.		2011-07-19 18:03:31	2011-07-19 18:03:31
17				Like to own things that impress people.		2011-07-19 18:03:31	2011-07-19 18:03:31
18				Try to be with someone else when I'm feeling badly.		2011-07-19 18:03:31	2011-07-19 18:03:31
19				Feel others' emotions.		2011-07-19 18:03:31	2011-07-19 18:03:31
20				Talk a lot.		2011-07-19 18:03:31	2011-07-19 18:03:31
21				Try to avoid speaking in public.		2011-07-19 18:03:31	2011-07-19 18:03:31
22				Am usually active and full of energy.		2011-07-19 18:03:31	2011-07-19 18:03:31
23				Am patient with people who annoy me.		2011-07-19 18:03:31	2011-07-19 18:03:31
24				Am easily annoyed.		2011-07-19 18:03:31	2011-07-19 18:03:31
25				Push myself very hard to succeed.		2011-07-19 18:03:31	2011-07-19 18:03:31
26				Do not like art.		2011-07-19 18:03:31	2011-07-19 18:03:31
27				Love to hear about other countries and cultures.		2011-07-19 18:03:31	2011-07-19 18:03:31
28				Am considered to be kind of eccentric.		2011-07-19 18:03:31	2011-07-19 18:03:31
29				Worry about what people think of me.		2011-07-19 18:03:31	2011-07-19 18:03:31
30				Am very shy in social situations.		2011-07-19 18:03:31	2011-07-19 18:03:31
31				Don't have much energy.		2011-07-19 18:03:31	2011-07-19 18:03:31
32				Don't think that laws apply to me.		2011-07-19 18:03:31	2011-07-19 18:03:31
33				Have frequent mood swings.		2011-07-19 18:03:31	2011-07-19 18:03:31
34				Hold a grudge.		2011-07-19 18:03:31	2011-07-19 18:03:31
35				Like to act on a whim.		2011-07-19 18:03:31	2011-07-19 18:03:31
36				Have felt the presence of another person when he or she was not really there.		2011-07-19 18:03:31	2011-07-19 18:03:31
37				Seem to derive less enjoyment from interacting with people than others do.		2011-07-19 18:03:31	2011-07-19 18:03:31
38				Love to be the center of attention.		2011-07-19 18:03:31	2011-07-19 18:03:31
39				Don't let others cut in front of me in line.		2011-07-19 18:03:31	2011-07-19 18:03:31
40				Insist that others do things my way.		2011-07-19 18:03:31	2011-07-19 18:03:31
41				Am a firm believer in thinking things through.		2011-07-19 18:03:31	2011-07-19 18:03:31
42				Dislike changes.		2011-07-19 18:03:31	2011-07-19 18:03:31
43				Read a large variety of books.		2011-07-19 18:03:31	2011-07-19 18:03:31
44				Love excitement.		2011-07-19 18:03:31	2011-07-19 18:03:31
45				Would rather spend money than save it.		2011-07-19 18:03:31	2011-07-19 18:03:31
46				Enjoy being reckless.		2011-07-19 18:03:31	2011-07-19 18:03:31
47				Have never cared much what others thought of me.		2011-07-19 18:03:31	2011-07-19 18:03:31
48				Usually get right to work on something that needs to be done as soon as I think of it.		2011-07-19 18:03:31	2011-07-19 18:03:31
49				Often have the feeling that others laugh or talk about me.		2011-07-19 18:03:31	2011-07-19 18:03:31
50				Try to forgive and forget.		2011-07-19 18:03:31	2011-07-19 18:03:31
51				Feel little concern for others.		2011-07-19 18:03:31	2011-07-19 18:03:31
52				Do things out of revenge.		2011-07-19 18:03:31	2011-07-19 18:03:31
53				Have felt contact with a divine power.		2011-07-19 18:03:31	2011-07-19 18:03:31
54				Am devoted to religion.		2011-07-19 18:03:31	2011-07-19 18:03:31
55				Was a better than average student when I was in school.		2011-07-19 18:03:31	2011-07-19 18:03:31
56				Felt close to my parents when I was a child.		2011-07-19 18:03:31	2011-07-19 18:03:31
57				Feel a sense of worthlessness or hopelessness.		2011-07-19 18:03:31	2011-07-19 18:03:31
58				Am interested in science.		2011-07-19 18:03:31	2011-07-19 18:03:31
59				Believe that most questions have one right answer.		2011-07-19 18:03:31	2011-07-19 18:03:31
60				Tend to feel happy and irritable at the same time.		2011-07-19 18:03:31	2011-07-19 18:03:31
61				Believe it is always better to be safe than sorry.		2011-07-19 18:03:31	2011-07-19 18:03:31
62				Rarely get irritated.		2011-07-19 18:03:31	2011-07-19 18:03:31
63				Wanted to run away from home when I was a child.		2011-07-19 18:03:31	2011-07-19 18:03:31
64				Often enjoy telling jokes or behaving in a humorous manner.		2011-07-19 18:03:31	2011-07-19 18:03:31
65				Make enemies.		2011-07-19 18:03:31	2011-07-19 18:03:31
66				Am fascinated by how machines work.		2011-07-19 18:03:31	2011-07-19 18:03:31
67				Disliked math in school.		2011-07-19 18:03:31	2011-07-19 18:03:31
68				Have a rich vocabulary.		2011-07-19 18:03:31	2011-07-19 18:03:31
69				Like to read.		2011-07-19 18:03:31	2011-07-19 18:03:31
70				Don't care about dressing nicely.		2011-07-19 18:03:31	2011-07-19 18:03:31
71				Worry about things.		2011-07-19 18:03:31	2011-07-19 18:03:31
72				Am easily intimidated.		2011-07-19 18:03:31	2011-07-19 18:03:31
73				Love large parties.		2011-07-19 18:03:31	2011-07-19 18:03:31
74				Seldom daydream.		2011-07-19 18:03:31	2011-07-19 18:03:31
75				Crave the experience of great art.		2011-07-19 18:03:31	2011-07-19 18:03:31
76				Tend to vote for liberal political candidates.		2011-07-19 18:03:31	2011-07-19 18:03:31
77				Feel sympathy for those who are worse off than myself.		2011-07-19 18:03:31	2011-07-19 18:03:31
78				Use my charm to get attention.		2011-07-19 18:03:31	2011-07-19 18:03:31
79				Avoid activities that are physically dangerous.		2011-07-19 18:03:31	2011-07-19 18:03:31
