id	name	display	desc	q_measure_id	n_items	created_at	updated_at
1	NEO_PI-R_Anxiety			1	5	2011-07-19 18:03:31	2011-07-19 18:03:31
2	NEO_PI-R_Activity			1	5	2011-07-19 18:03:31	2011-07-19 18:03:31
3	TCI_Impulsiveness			1	5	2011-07-19 18:03:31	2011-07-19 18:03:31
4	TCI_Extravagance			1	5	2011-07-19 18:03:31	2011-07-19 18:03:31
5	TCI_Disorderliness			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
6	TCI_Worry_&_pessimism			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
7	TCI_Fear_of_uncertainty			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
8	TCI_Shyness_with_strangers			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
9	TCI_Fatigability_&_asthenia			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
10	TCI_Sentimentality			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
11	TCI_Warm_communication			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
12	TCI_Attachment			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
13	NEO_PI-R_Excitement-Seeking			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
14	TCI_Dependence			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
15	TCI_Eagerness_of_effort			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
16	TCI_Work_hardened			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
17	TCI_Ambitious			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
18	TCI_Perfectionist			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
19	TCI_Responsibility			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
20	TCI_Purposefulness			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
21	TCI_Resourcefulness			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
22	TCI_Self-acceptance			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
23	TCI_Enlightened_second_nature			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
24	NEO_PI-R_Positive_Emotions			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
25	TCI_Social_acceptance			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
26	TCI_Empathy			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
27	TCI_Helpfulness			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
28	TCI_Compassion			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
29	TCI_Pure-hearted_conscience			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
30	TCI_Self-forgetful			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
31	TCI_Transpersonal_identification			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
32	TCI_Spiritual_acceptance			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
33	TCI_Enlightened			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
34	TCI_Idealistic			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
35	NEO_PI-R_Fantasy			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
36	CPI_Dominance			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
37	CPI_Capacity_for_Status			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
38	CPI_Sociability			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
39	CPI_Social_Presence			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
40	CPI_Self-acceptance			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
41	CPI_Independence			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
42	CPI_Empathy			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
43	CPI_Responsibility			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
44	CPI_Socialization			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
45	CPI_Self-control			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
46	NEO_PI-R_Aesthetics			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
47	CPI_Good_Impression			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
48	CPI_Communality			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
49	CPI_Well-being			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
50	CPI_Tolerance			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
51	CPI_Achievement_via_Conformance			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
52	CPI_Achievement_via_Independence			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
53	CPI_Intellectual_Efficiency			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
54	CPI_Psychological-mindedness			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
55	CPI_Flexibility			1	5	2011-07-19 18:03:32	2011-07-19 18:03:32
