id	level	subcat	text	element_id	hardship_id	created_at	updated_at
1	0		He records audio books for the blind as a volunteer activity.	2		2011-07-19 18:03:34	2011-07-19 18:03:34
2	1		He almost never goes out with friends.	2		2011-07-19 18:03:34	2011-07-19 18:03:34
3	2		He helps grow a community garden whose produce is for school lunches.	2		2011-07-19 18:03:34	2011-07-19 18:03:34
4	3		He usually eats alone	2		2011-07-19 18:03:34	2011-07-19 18:03:34
5	4		He helps build houses for Habitat for Humanity every summer.	2		2011-07-19 18:03:34	2011-07-19 18:03:34
6	5		He has a pile of unpaid parking tickets	2		2011-07-19 18:03:34	2011-07-19 18:03:34
7	6		He offers spare pocket change to the homeless.	2		2011-07-19 18:03:34	2011-07-19 18:03:34
8	7		He likes to pick fights	2		2011-07-19 18:03:34	2011-07-19 18:03:34
9	8		He does yard work for older neighbors.	2		2011-07-19 18:03:34	2011-07-19 18:03:34
10	9		He has been arrested for shoplifting	2		2011-07-19 18:03:34	2011-07-19 18:03:34
11	0		He has a hard time empathizing with other people's feelings	6		2011-07-19 18:03:34	2011-07-19 18:03:34
12	1		He loves to laugh.	6		2011-07-19 18:03:34	2011-07-19 18:03:34
13	2		He loses his temper easily	6		2011-07-19 18:03:34	2011-07-19 18:03:34
14	3		He is friendly with everyone he meets.	6		2011-07-19 18:03:34	2011-07-19 18:03:34
15	4		He has a reputation as somewhat a gossip	6		2011-07-19 18:03:34	2011-07-19 18:03:34
16	5		He struggles to hold down a job as he tends to start fights with his coworkers and bosses.	6		2011-07-19 18:03:34	2011-07-19 18:03:34
17	6		He is charming and lights up a social event easily.	6		2011-07-19 18:03:34	2011-07-19 18:03:34
18	7		He is known for using profanity often.	6		2011-07-19 18:03:34	2011-07-19 18:03:34
19	8		He has a reputation of being sincere and honest.	6		2011-07-19 18:03:34	2011-07-19 18:03:34
20	9		He never forgets a birthday or to send a birthday card.	6		2011-07-19 18:03:34	2011-07-19 18:03:34
21	0		He struggles with being on time to meetings.	3		2011-07-19 18:03:34	2011-07-19 18:03:34
22	1		He is very responsible with his money.	3		2011-07-19 18:03:34	2011-07-19 18:03:34
