id	code	data	state	session_id	created_at	updated_at
1				1	2011-07-19 18:04:25	2011-07-19 18:04:25
2				2	2011-07-19 18:13:43	2011-07-19 18:13:43
3				3	2011-07-19 18:19:16	2011-07-19 18:19:16
4				4	2011-07-19 18:19:19	2011-07-19 18:19:19
5				5	2011-07-19 18:19:34	2011-07-19 18:19:34
6				6	2011-07-19 18:19:47	2011-07-19 18:19:47
7				7	2011-07-19 18:19:54	2011-07-19 18:19:54
8				8	2011-07-19 18:20:16	2011-07-19 18:20:16
9				9	2011-07-19 18:20:32	2011-07-19 18:20:32
10				10	2011-07-19 18:21:33	2011-07-19 18:21:33
11				11	2011-07-19 18:21:56	2011-07-19 18:21:56
12				12	2011-07-19 18:22:05	2011-07-19 18:22:05
13				13	2011-07-19 18:22:12	2011-07-19 18:22:12
14				14	2011-07-19 18:22:26	2011-07-19 18:22:26
15				15	2011-07-19 18:23:17	2011-07-19 18:23:17
16				16	2011-07-19 18:25:06	2011-07-19 18:25:06
17				17	2011-07-19 18:26:27	2011-07-19 18:26:27
18				18	2011-07-19 18:27:00	2011-07-19 18:27:00
19				19	2011-07-19 18:27:44	2011-07-19 18:27:44
20				20	2011-07-19 18:28:03	2011-07-19 18:28:03
21				21	2011-07-19 18:29:57	2011-07-19 18:29:57
22				22	2011-07-19 18:30:58	2011-07-19 18:30:58
23				23	2011-07-19 18:31:18	2011-07-19 18:31:18
24				24	2011-07-19 18:31:21	2011-07-19 18:31:21
25				25	2011-07-19 18:31:32	2011-07-19 18:31:32
26				26	2011-07-19 18:31:52	2011-07-19 18:31:52
27				27	2011-07-19 18:36:25	2011-07-19 18:36:25
28				28	2011-07-19 18:36:31	2011-07-19 18:36:31
29				29	2011-07-19 18:37:01	2011-07-19 18:37:01
30				30	2011-07-19 18:38:26	2011-07-19 18:38:26
31				31	2011-07-19 18:43:37	2011-07-19 18:43:37
32				32	2011-07-19 18:43:54	2011-07-19 18:43:54
33				33	2011-07-19 18:44:39	2011-07-19 18:44:39
34				34	2011-07-19 18:44:44	2011-07-19 18:44:44
35				35	2011-07-19 18:45:33	2011-07-19 18:45:33
36				36	2011-07-19 18:47:18	2011-07-19 18:47:18
37				37	2011-07-19 18:49:25	2011-07-19 18:49:25
